"region","industry (SIC2007)","sex","age","year","contents","07984: Employed persons per 4th quarter, by region, industry (SIC2007), sex, age, year and contents"
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2008","Employed persons by place of residence",57790
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2008","Employed persons by place of work",57792
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2009","Employed persons by place of residence",57336
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2009","Employed persons by place of work",57334
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2010","Employed persons by place of residence",54577
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2010","Employed persons by place of work",54577
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2011","Employed persons by place of residence",51528
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2011","Employed persons by place of work",51528
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2012","Employed persons by place of residence",51212
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2012","Employed persons by place of work",51213
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2013","Employed persons by place of residence",50017
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2013","Employed persons by place of work",50017
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2014","Employed persons by place of residence",49670
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2014","Employed persons by place of work",49669
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2015","Employed persons by place of residence",46549
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2015","Employed persons by place of work",46546
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2016","Employed persons by place of residence",45209
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2016","Employed persons by place of work",45206
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2017","Employed persons by place of residence",46020
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2017","Employed persons by place of work",46069
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2018","Employed persons by place of residence",47057
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-74 15-74 years","2018","Employed persons by place of work",47050
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2008","Employed persons by place of residence",4584
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2008","Employed persons by place of work",4601
